source,reference,MarianMT_hyp,MarianMT_bleu,NLLB_hyp,NLLB_bleu,mBART-50_hyp,mBART-50_bleu,GoogleTranslate_hyp,GoogleTranslate_bleu,avg_bleu,src_len,len_bucket
"According to reports, this year a group of students from McGill University in Montreal received the Hult Prize for an innovative project.",खबरों के अनुसार मॉन्ट्रियल स्थित मैकगिल यूनिवर्सिटी के छात्रों के एक समूह ने इस साल अनोखे प्रोजेक्ट के लिए हल्ट पुरस्कार जीता था।,"रिपोर्ट के अनुसार, इस साल मैगन विश्‍वविद्यालय के एक विद्यार्थी को एक नयी परियोजना के लिए ह्‍यूगनॉट्‌ट पुरस्कार मिला ।",33.3732275402071,"रिपोर्टों के अनुसार, इस वर्ष मॉन्ट्रियल में मैकगिल विश्वविद्यालय के छात्रों के एक समूह को एक अभिनव परियोजना के लिए हुल्ट पुरस्कार मिला।",52.539317899225196,"रिपोर्टों के अनुसार, इस वर्ष मोन्टेरियल में मैगिल विश्वविद्यालय से एक छात्र समूह ने एक नवान्वेषी परियोजना के लिए हल्ट पुरस्कार प्राप्त किया।",40.405848899859606,"रिपोर्ट्स के मुताबिक, इस साल मॉन्ट्रियल में मैकगिल यूनिवर्सिटी के छात्रों के एक समूह को एक इनोवेटिव प्रोजेक्ट के लिए हॉल्ट पुरस्कार मिला।",64.04663048011959,47.59125620485287,22,21-35
"The rep adds: ""Perhaps she is confusing him with someone else.""","प्रतिनिधि ने यह भी कहाः  ""संभवतः पैरी, किसी अन्य व्यक्ति की गलतफहमी में उनके बारे में कह रही हैं""","फिर आगे कहता है, ""शायद वह किसी और के साथ परेशान हो जाए।""",4.960696668021537,"प्रतिनिधि जोड़ता हैः ""शायद वह उसे किसी और के साथ भ्रमित कर रही है।""",20.356351191407494,"रिप का कहना है, '' शायद वह उसे किसी और के साथ भ्रमित कर रही है. ''",10.168152264366311,"प्रतिनिधि आगे कहता है: ""शायद वह उसे किसी और के साथ भ्रमित कर रही है।""",20.8640361222322,14.087309061506886,11,11-20
The Palmer United Party could control up to four votes in the Senate that may be crucial in deciding if the carbon and mining taxes are axed.,"पामर यूनाइटेड पार्टी सीनेट में चार वोट तक नियंत्रित कर सकती है, जो कि कार्बन एवं खनन करों को कम किये जाने के बारे में निर्धारित करने में महत्वपूर्ण हो सकते हैं।",यू. एस.) में चार वोटों पर नियंत्रण रख सकते हैं जो शायद यह निर्णय करने में निर्णायक हों कि कार्बन और टन करों को भारी कर दिया जाए ।,36.38712634072834,पामर यूनाइटेड पार्टी सीनेट में चार वोट तक का नियंत्रण रख सकती है जो कार्बन और खनन करों को समाप्त करने का निर्णय लेने में महत्वपूर्ण हो सकता है।,64.97452216216959,पामर यूनाइटेड पार्टी सेनेट में चार मत तक नियंत्रण कर सकती है जो कार्बन और खनन करों को झुकाया जाने पर निर्णय लेने में महत्वपूर्ण हो सकता है.,60.507173733749575,पामर यूनाइटेड पार्टी सीनेट में चार वोटों तक को नियंत्रित कर सकती है जो यह तय करने में महत्वपूर्ण हो सकते हैं कि कार्बन और खनन कर हटा दिए गए हैं या नहीं।,67.37361216524039,57.31060860047197,27,21-35
"One of the most sophisticated drug smuggling tunnels between the USA and Mexico has been found, complete with its own lighting, ventilation and electric rail systems.","यू.एस.ए. एवं मेक्सिको के बीच सबसे जटिल ड्रग तस्करी सुरंगों में से एक पायी गई है, जिसमें इसका स्वयं की लाइटिंग, वेंटीलेशन एवं इलेक्ट्रिक रेल सिस्टम है।","अमरीका और मेक्सिको के बीच की सबसे जटिल दवा है, जो अमरीका और अमरीका के बीच पायी जाती है ।",18.781739714247685,"अमेरिका और मैक्सिको के बीच सबसे परिष्कृत ड्रग तस्करी सुरंगों में से एक पाया गया है, जिसमें इसकी अपनी प्रकाश व्यवस्था, वेंटिलेशन और इलेक्ट्रिक रेल प्रणाली है।",57.08382301578909,"संयुक्त राज्य अमेरिका और मेक्सिको के बीच एक अत्यंत जटिल ड्रग्स का smuggling सुरंग पाया गया है, जिसमें अपने ही प्रकाश, वाष्पीकरण और विद्युत रेलवे प्रणालियां हैं।",31.261289482796425,"संयुक्त राज्य अमेरिका और मैक्सिको के बीच सबसे परिष्कृत ड्रग तस्करी सुरंगों में से एक की खोज की गई है, जो अपनी स्वयं की प्रकाश व्यवस्था, वेंटिलेशन और इलेक्ट्रिक रेल प्रणालियों से परिपूर्ण है।",46.267608330761334,38.34861513589863,26,21-35
"She has a vagina, but no uterus or ovaries.",उसके शरीर में योनि तो है लेकिन गर्भाशय या डिंबग्रंथि नहीं है।,"वह एक macuta है, लेकिन कोई नल या ocents है.",9.634632001403197,"उसके पास एक योनि है, लेकिन कोई गर्भाशय या अंडाशय नहीं है।",45.262112055608185,"उसके योनि है, लेकिन गर्भाशय या अंडाशय नहीं है।",47.37459693173626,"उसके पास योनि तो है, लेकिन गर्भाशय या अंडाशय नहीं है।",55.73467208586696,39.50150326865365,9,6-10
The Energy Department said Wednesday that U.S. supplies increased 4.1 million barrels last week.,ऊर्जा विभाग ने बुधवार को कहा  कि अमेरिकी आपूर्ति पिछले सप्ताह 4.1 मिलियन बैरल की वृद्धि हुई है,ऊर्जा विभाग ने बुधवार को कहा कि अमरीका में ४.५ लाख गहने ज़्यादा हो गए हैं ।,38.57261309309527,ऊर्जा विभाग ने बुधवार को कहा कि पिछले सप्ताह अमेरिकी आपूर्ति में 4.1 मिलियन बैरल की वृद्धि हुई।,89.7142248871883,"ऊर्जा विभाग ने Çarşamba günü कहा कि पिछले सप्ताह अमरीका की आपूर्ति 4,1 मिलियन बैरल बढ़ी है.",58.48044434864398,ऊर्जा विभाग ने बुधवार को कहा कि पिछले सप्ताह अमेरिकी आपूर्ति में 4.1 मिलियन बैरल की वृद्धि हुई।,89.7142248871883,69.12037680402895,14,11-20
Mahesh Rai of the BJP and Nirmala Sapre of the Congress will face each other in Bina.,बीना में भाजपा के महेश राय एवं कांग्रेस की निर्मला सप्रे आमने सामने हैं।,BJJP और कांग्रेस के Na में से Na में एक दूसरे का सामना करेंगे।,24.51976720370369,बीजेपी के महेश राय और कांग्रेस की निर्मला सापरी बीना में आमने-सामने होंगे।,62.16629998165602,भाजपा के महेश राय और कांग्रेस के निर्मल सप्रे Bina में एक-दूसरे का सामना करेंगे।,51.15613737274891,बीना में बीजेपी के महेश राय और कांग्रेस की निर्मला सप्रे आमने-सामने होंगे.,70.09146534786963,51.983417476494566,17,11-20
"Soon after the drop off, Scarborough was in regular phone contact with Ditta who had been out at the dinner at the Blackburn Rovers football stadium, Ewood Park.","नशीली दवा रखे जाने के पश्चात स्कारबोरो डिट्टा के साथ नियमित रूप से फोन पर सम्पर्क में था, जो ब्लैकर्न रोवर्स फुटबॉल स्टेडियम, ईवुड पार्क में डिनर के लिए बाहर गया था।","कुछ ही समय बाद, डरीरो नाम की एक बहन ने, जो ब्लैकबर्न रोक स्टेडियम में खाना खाने के लिए बाहर निकली थी, ईवुड पार्क में, नियमित तौर पर फोन पर फोन पर बात की ।",40.84858234096799,"ड्रिप के तुरंत बाद, स्कारबोरो डिट्टा के साथ नियमित टेलीफोन संपर्क में था जो ब्लैकबर्न रोवर्स फुटबॉल स्टेडियम, ईवुड पार्क में रात्रिभोज पर बाहर था।",62.38729358749268,"ड्रॉप डाउन के तुरंत बाद, स्करबोरो ने ईवुड पार्क के ब्लैकबर्न रोवर्स फुटबाल स्टेडियम में खाने के लिए बाहर निकले डेट्टा से नियमित रूप से फोन संपर्क किया था।",54.17136076041564,"छोड़ने के तुरंत बाद, स्कारबोरो डिट्टा के साथ नियमित रूप से फोन पर संपर्क में था, जो ब्लैकबर्न रोवर्स फुटबॉल स्टेडियम, ईवुड पार्क में रात्रिभोज के लिए गया था।",74.61063791979855,58.00446865216871,28,21-35
Seven points added to his licence resulted in him receiving a six-month driving ban.,"उनके लाइसेंस में सात बिंदु जोड़े गए, जिसके परिणामस्वरूप उन पर छह महीने तक कार चलाने का प्रतिबंध लगा दिया गया है।",उसके लाइसेंस में सात मुद्दों को जोड़ा गया... ... उसे एक छः महीने के गाड़ी चलाने पर प्रतिबंध प्राप्त हुआ.,43.07756692640016,उसके लाइसेंस में सात अंक जोड़े जाने के परिणामस्वरूप उसे छह महीने के लिए ड्राइविंग प्रतिबंध प्राप्त हुआ।,55.02926159857624,उसके लाइसेंस में सात अंक जोड़े जाने के कारण उसे छह महीने का ड्राइविंग प्रतिबंध लगा दिया गया।,52.35519366159079,उनके लाइसेंस में सात अंक जोड़ने के परिणामस्वरूप उन पर छह महीने का ड्राइविंग प्रतिबंध लगा दिया गया।,68.91210203640469,54.84353105574297,14,11-20
He came up with the idea after reading a research paper on jellyfish and convinced scientists in China to chemically recreate the glowing protein.,उसे यह विचार जेलिफ़िश पर एक शोध पत्र पढ़ने के बाद आया  और चीन के आश्वस्त वैज्ञानिकों ने रासायनिक चमक का उपयोग को प्रोटीन को पुनः चमकाने पर किया.,वह इस विचार के साथ आया कि जॆलली मछली पर एक शोध पत्र पढ़ने के बाद और चीन के वैज्ञानिकों को विश्‍वस्त किया गया कि वे रासायनिक प्रोटीन को विकसित करने के लिए रासायनिक रूप से समर्थ हैं ।,46.37956876102657,यह विचार उन्होंने जेलीफिश पर एक शोध पत्र पढ़ने के बाद आया और चीन में वैज्ञानिकों को रासायनिक रूप से चमकते प्रोटीन को फिर से बनाने के लिए आश्वस्त किया।,63.56991875307513,उन्होंने जेली के बारे में एक शोध-पत्र पढ़ने के बाद यह विचार निकाला और चीन के वैज्ञानिकों को चमकती प्रोटीन को रसायनिक रूप से पुनः उत्पन्न करने के लिए आश्वस्त किया।,52.54286069730551,जेलिफ़िश पर एक शोध पत्र पढ़ने के बाद उनके मन में यह विचार आया और उन्होंने चीन में वैज्ञानिकों को रासायनिक रूप से चमकते प्रोटीन को फिर से बनाने के लिए मना लिया।,57.01949051672747,54.87795968203367,24,21-35
"Seeing his father and so many of his countrymen suffer, Bwelle was determined to do something about it.","अपने पिता तथा अपने देशवासियों की पीड़ा देखकर, वेल ने इसका कुछ समाधान करने का दृढ़ संकल्प लिया।","उसके पिता और उसके कई देशवासियों को दुःख - तकलीफें झेलनी पड़ती हैं, सो बिल ने ठान लिया था कि वह इसके बारे में कुछ करेगा ।",27.480456555842146,"अपने पिता और अपने कई देशवासियों को पीड़ा झेलते देखकर, बुवेले इसके बारे में कुछ करने के लिए दृढ़ थे।",49.43114632488045,अपने पिता और अपने देशवासियों के बहुत-से कष्टों को देखकर बीवेल इस बारे में कुछ करने के लिए दृढ़ता से तैयार थे।,41.16948927695404,"अपने पिता और अपने कई देशवासियों को पीड़ित देखकर, ब्वेले ने इसके बारे में कुछ करने की ठानी।",48.228208071043746,41.5773250571801,18,11-20
"The ""rectification"" order came from the Guangdong Administration of Press and Publication, Radio, Film and Television.","""सुधार"" का आदेश ग्वांगडौंग प्रेस एवं प्रकाशन, रेडियो, फिल्म एवं टेलीविजन प्रशासन से आया।","""पुनर्मेशन"" आदेश प्रेस और प्रकाशन, रेडियो, फ़िल्म और फ़िल्म के फ़्लोर से आया था।",39.16336440197574,"""संशोधन"" आदेश गुआंग्डोंग प्रेस और प्रकाशन, रेडियो, फिल्म और टेलीविजन प्रशासन से आया था।",67.21282375422537,"""निशोधन"" आदेश गुआंगडोंग प्रेस और प्रकाशन, रेडियो, फिल्म और टेलीविजन प्रशासन से आया था।",66.47482112829184,"""सुधार"" आदेश प्रेस और प्रकाशन, रेडियो, फिल्म और टेलीविजन के गुआंग्डोंग प्रशासन से आया था।",69.17418118413099,60.50629761715598,16,11-20
The water rail was fit and well by the time it was released.,छोड़े जाने से पहले वाटर रेल स्वस्थ और तंदुरुस्त हो गया था।,"जब उसे रिहा किया गया, तब तक पानी की रेल ठीक हो चुकी थी ।",7.811155950129323,जब इसे रिलीज़ किया गया तब तक पानी की रेल अच्छी तरह से फिट और अच्छी थी।,7.252605189561437,जल-रेल तब तक ठीक था जब तक उसे छोड़ दिया गया था।,19.600975955625586,जब इसे छोड़ा गया तब तक जल रेल फिट और अच्छी थी।,11.371137186163027,11.508968570369843,13,11-20
"""We would welcome a review by CASA into allowing the use of electronic devices because we really do think it will improve the customer experience now that we have (wireless in-flight entertainment) on our planes,"" a spokesman said.","प्रवक्ता ने कहा कि ""हम विद्युत उपकरणों के उपयोग की अनुमति दिए जाने के मामले में CASA द्वारा समीक्षा का स्वागत करेंगे, क्योंकि हमें वास्तव में ऐसा लगता है कि यह ग्राहकों को बेहतर अनुभव प्रदान करेगा, क्योंकि अब हमारे पास (वायरलेस इन-फ्लाइट मनोरंजन) हमारे विमानों में है।","""हम CAS द्वारा एक समीक्षा का स्वागत करेंगे इलेक्ट्रॉनिक उपकरणों के उपयोग की अनुमति देने के लिए क्योंकि हम वास्तव में यह ग्राहक अनुभव अब हमारे हवाई जहाज पर (प्रयोगिक मनोरंजन) है कि अब बेहतर होगा"" एक प्रवक्ता ने कहा.",51.267551520132876,"एक प्रवक्ता ने कहा, ""हम CASA द्वारा इलेक्ट्रॉनिक उपकरणों के उपयोग की अनुमति देने की समीक्षा का स्वागत करेंगे क्योंकि हमें वास्तव में लगता है कि यह ग्राहक अनुभव में सुधार करेगा क्योंकि हमारे विमानों पर हमारे पास (wireless in-flight entertainment) है।",61.5354323549921,"एक प्रवक्ता ने कहा, ""हम कासा द्वारा इलेक्ट्रॉनिक उपकरणों के उपयोग की अनुमति देने के लिए एक समीक्षा का स्वागत करेंगे क्योंकि हम वास्तव में सोचते हैं कि यह ग्राहक अनुभव में सुधार करेगा अब कि हम अपने विमानों पर (wireless in-flight entertainment) है,""",50.81316264094418,"एक प्रवक्ता ने कहा, ""हम इलेक्ट्रॉनिक उपकरणों के उपयोग की अनुमति देने के लिए CASA की समीक्षा का स्वागत करेंगे क्योंकि हम वास्तव में सोचते हैं कि अब हमारे विमानों में (वायरलेस इन-फ़्लाइट मनोरंजन) ग्राहक अनुभव में सुधार होगा।""",59.11849740330534,55.68366097984362,38,35+
"However, there should be more transparency.",लेकिन इसके बावजूद इसमें और पारदर्शिता लाई जाना चाहिए।,"लेकिन, और भी ज़्यादा पारदर्शिता होनी चाहिए ।",39.937578412989374,"हालांकि, अधिक पारदर्शिता होनी चाहिए।",33.16736838036798,"तथापि, अधिक पारदर्शिता होनी चाहिए।",28.83548871274042,"हालाँकि, अधिक पारदर्शिता होनी चाहिए।",32.81634153544346,33.68919426038531,6,6-10
"I voted for President Obama twice, sharing hope in possibility of change",मैने बदलाव की अपेक्षा में ओबामा को दो बार मतदान दिया,"मैं राष्ट्रपति ओबमा के लिए दो बार वोट दिया, परिवर्तन की संभावना में साझा",20.125597340202035,"मैंने दो बार राष्ट्रपति ओबामा के लिए मतदान किया, परिवर्तन की संभावना में आशा साझा करते हुए",23.530333350278656,"मैंने दो बार राष्ट्रपति ओबामा के लिए मतदान किया, परिवर्तन की संभावनाओं में आशा साझा किया",22.3574433962218,मैंने बदलाव की संभावना में आशा साझा करते हुए राष्ट्रपति ओबामा को दो बार वोट दिया,38.63404224683133,26.161854083383453,12,11-20
"To teach a lesson to the goons the divisional officers have appointed female police officers and others under the leadership of the NGO's, naming them the ""Anti Goon Staff"".",मनचलों को सबक सिखाने के लिए अब विभागीय अधिकारियों ने महिला पुलिस कर्मियों सहित अन्य को एनजीओ के नेतृत्व में 'एंटी गुंडा स्टाफ' का नाम देकर ड्यूटी पर लगाया है।,"""एवरर्सर्स अधिकारियों को एक सबक सिखाने के लिए महिला पुलिस अधिकारियों और अन्यों को NGO के नेतृत्व के तहत नियुक्‍त किया है, उनका नाम ""आवरर्स स्टूफ़"".",43.96756376854537,"गुनों को सबक सिखाने के लिए विभाग के अधिकारियों ने महिला पुलिस अधिकारियों और अन्य लोगों को गैर सरकारी संगठनों के नेतृत्व में नियुक्त किया है, उन्हें ""एंटी गुन स्टाफ"" नाम दिया है।",52.09648821587663,"बदचलनियों को शिक्षा देने के लिए विभागीय अधिकारियों ने गैर सरकारी संगठनों के नेतृत्व में महिला पुलिस अधिकारियों और अन्य अधिकारियों को नियुक्त किया है और उन्हें ""अंटी बदचलन कर्मचारी"" कहा है।",40.673422652100015,"गुंडों को सबक सिखाने के लिए संभागीय अधिकारियों ने एनजीओ के नेतृत्व में महिला पुलिस अधिकारियों और अन्य लोगों को ""एंटी गुंडा स्टाफ"" का नाम देते हुए नियुक्त किया है।",65.51606876545307,50.56338585049377,29,21-35
"I voted for Obama again in 2012, but not because I was excited by his candidacy.","मैने ओबामा के लिए 2012 में पुनः वोट दिया, लेकिन इसलिए नहीं कि मैं उसकी उम्मीदवारी से रोमांचित था।","सन्‌ 2012 में मैंने ओबामा के लिए फिर से वोट दिया, मगर यह नहीं कि मैं उसकी मुट्ठी में हूँ ।",48.12927575051101,"मैंने 2012 में फिर से ओबामा को वोट दिया, लेकिन इसलिए नहीं कि मैं उनकी उम्मीदवारी से उत्साहित था।",72.20864584462963,"मैंने 2012 में ओबामा के लिए फिर से मतदान किया, लेकिन इसलिए नहीं क्योंकि मैं उनकी उम्मीदवारी से उत्तेजित था।",63.37641702740666,"मैंने 2012 में ओबामा को फिर से वोट दिया, लेकिन इसलिए नहीं कि मैं उनकी उम्मीदवारी से उत्साहित था।",71.14830263400742,63.71566031413868,16,11-20
